2026-05-13T07:30:07.597449 | Data ready - 229 rows, last=2026-05-13 07:00:00+05:30
2026-05-13T07:30:07.601454 | data fetched price=80985.88
2026-05-13T07:30:07.601454 | no signal
2026-05-13T07:30:07.602448 | loop end - sleeping
2026-05-13T07:30:07.602448 | sleeping until next candle
2026-05-13T08:00:05.609658 | loop start
2026-05-13T08:00:06.240465 | TwelveData OK - 230 rows
2026-05-13T08:00:06.267178 | TwelveData fetch completed
2026-05-13T08:00:07.040958 | Binance fetch complete
2026-05-13T08:00:07.082627 | Data ready - 230 rows, last=2026-05-13 07:30:00+05:30
2026-05-13T08:00:07.085629 | data fetched price=81106.84
2026-05-13T08:00:07.086627 | no signal
2026-05-13T08:00:07.086627 | loop end - sleeping
2026-05-13T08:00:07.086627 | sleeping until next candle
2026-05-13T08:30:05.101157 | loop start
2026-05-13T08:30:05.814020 | TwelveData OK - 231 rows
2026-05-13T08:30:05.849537 | TwelveData fetch completed
2026-05-13T08:30:06.671875 | Binance fetch complete
2026-05-13T08:30:06.711768 | Data ready - 231 rows, last=2026-05-13 08:00:00+05:30
2026-05-13T08:30:06.713767 | data fetched price=81040.60
2026-05-13T08:30:06.713767 | no signal
2026-05-13T08:30:06.713767 | loop end - sleeping
2026-05-13T08:30:06.715002 | sleeping until next candle
2026-05-13T09:00:05.725992 | loop start
2026-05-13T09:00:06.431967 | TwelveData OK - 232 rows
2026-05-13T09:00:06.457109 | TwelveData fetch completed
2026-05-13T09:00:07.281150 | Binance fetch complete
2026-05-13T09:00:07.318667 | Data ready - 232 rows, last=2026-05-13 08:30:00+05:30
2026-05-13T09:00:07.320666 | data fetched price=81074.88
2026-05-13T09:00:07.320666 | no signal
2026-05-13T09:00:07.321668 | loop end - sleeping
2026-05-13T09:00:07.322668 | sleeping until next candle
2026-05-13T09:30:05.333635 | loop start
2026-05-13T09:30:06.021248 | TwelveData OK - 234 rows
2026-05-13T09:30:06.045247 | TwelveData fetch completed
2026-05-13T09:30:06.847663 | Binance fetch complete
2026-05-13T09:30:06.880250 | Data ready - 234 rows, last=2026-05-13 09:30:00+05:30
2026-05-13T09:30:06.882333 | data fetched price=81220.75
2026-05-13T09:30:06.882333 | no signal
2026-05-13T09:30:06.883762 | loop end - sleeping
2026-05-13T09:30:06.883762 | sleeping until next candle
2026-05-13T10:00:05.893532 | loop start
2026-05-13T10:00:06.454446 | TwelveData OK - 234 rows
2026-05-13T10:00:06.468705 | TwelveData fetch completed
2026-05-13T10:00:07.206374 | Binance fetch complete
2026-05-13T10:00:07.229405 | Data ready - 234 rows, last=2026-05-13 09:30:00+05:30
2026-05-13T10:00:07.232403 | data fetched price=81194.00
2026-05-13T10:00:07.232403 | no signal
2026-05-13T10:00:07.232403 | loop end - sleeping
2026-05-13T10:00:07.233403 | sleeping until next candle
2026-05-13T10:30:05.244053 | loop start
2026-05-13T10:31:35.442538 | loop start
2026-05-13T10:32:06.069051 | TwelveData OK - 236 rows
2026-05-13T10:32:06.116998 | TwelveData fetch completed
2026-05-13T10:32:06.890722 | Binance fetch complete
2026-05-13T10:32:06.930749 | Data ready - 236 rows, last=2026-05-13 10:30:00+05:30
2026-05-13T10:32:06.931750 | data fetched price=81188.74
2026-05-13T10:32:06.932750 | no signal
2026-05-13T10:32:06.933750 | loop end - sleeping
2026-05-13T10:32:06.933750 | sleeping until next candle
2026-05-13T11:00:05.935045 | loop start
2026-05-13T11:00:06.484125 | TwelveData OK - 236 rows
2026-05-13T11:00:06.489125 | TwelveData fetch completed
2026-05-13T11:00:07.264277 | Binance fetch complete
2026-05-13T11:00:07.297685 | Data ready - 236 rows, last=2026-05-13 10:30:00+05:30
2026-05-13T11:00:07.301876 | data fetched price=81103.63
2026-05-13T11:00:07.301876 | no signal
2026-05-13T11:00:07.303175 | loop end - sleeping
2026-05-13T11:00:07.303680 | sleeping until next candle
2026-05-13T11:30:05.304879 | loop start
2026-05-13T11:30:06.010752 | TwelveData OK - 238 rows
2026-05-13T11:30:06.017244 | TwelveData fetch completed
2026-05-13T11:30:07.659662 | Binance fetch complete
2026-05-13T11:30:07.670869 | Data ready - 238 rows, last=2026-05-13 11:30:00+05:30
2026-05-13T11:30:07.673269 | data fetched price=81004.12
2026-05-13T11:30:07.673269 | no signal
2026-05-13T11:30:07.674268 | loop end - sleeping
2026-05-13T11:30:07.674268 | sleeping until next candle
2026-05-13T12:00:05.684908 | loop start
2026-05-13T12:00:06.259501 | TwelveData OK - 239 rows
2026-05-13T12:00:06.286302 | TwelveData fetch completed
2026-05-13T12:00:07.669813 | Binance fetch complete
2026-05-13T12:00:07.709084 | Data ready - 239 rows, last=2026-05-13 12:00:00+05:30
2026-05-13T12:00:07.711084 | data fetched price=81065.29
2026-05-13T12:00:07.711084 | no signal
2026-05-13T12:00:07.712085 | loop end - sleeping
2026-05-13T12:00:07.712085 | sleeping until next candle
2026-05-13T12:30:05.713541 | loop start
2026-05-13T12:31:35.879495 | loop start
2026-05-13T12:31:36.746131 | TwelveData OK - 240 rows
2026-05-13T12:31:36.751613 | TwelveData fetch completed
2026-05-13T12:31:39.628186 | Binance fetch complete
2026-05-13T12:31:39.640435 | Data ready - 240 rows, last=2026-05-13 12:30:00+05:30
2026-05-13T12:31:39.642436 | data fetched price=80975.93
2026-05-13T12:31:39.642436 | no signal
2026-05-13T12:31:39.643760 | loop end - sleeping
2026-05-13T12:31:39.643760 | sleeping until next candle
2026-05-13T13:00:05.644817 | loop start
2026-05-13T13:00:06.188850 | TwelveData OK - 239 rows
2026-05-13T13:00:06.203771 | TwelveData fetch completed
2026-05-13T13:00:07.046464 | Binance fetch complete
2026-05-13T13:00:07.069903 | Data ready - 239 rows, last=2026-05-13 12:30:00+05:30
2026-05-13T13:00:07.070903 | data fetched price=80889.48
2026-05-13T13:00:07.071903 | no signal
2026-05-13T13:00:07.071903 | loop end - sleeping
2026-05-13T13:00:07.071903 | sleeping until next candle
2026-05-13T13:30:05.073838 | loop start
2026-05-13T13:30:05.715698 | TwelveData OK - 239 rows
2026-05-13T13:30:05.718695 | TwelveData fetch completed
2026-05-13T13:30:06.461520 | Binance fetch complete
2026-05-13T13:30:06.468536 | Data ready - 239 rows, last=2026-05-13 13:00:00+05:30
2026-05-13T13:30:06.469720 | data fetched price=80996.01
2026-05-13T13:30:06.470735 | no signal
2026-05-13T13:30:06.470735 | loop end - sleeping
2026-05-13T13:30:06.471736 | sleeping until next candle
2026-05-13T14:00:05.472644 | loop start
2026-05-13T14:00:06.021182 | TwelveData OK - 239 rows
2026-05-13T14:00:06.025531 | TwelveData fetch completed
2026-05-13T14:00:06.797533 | Binance fetch complete
2026-05-13T14:00:06.807532 | Data ready - 239 rows, last=2026-05-13 13:30:00+05:30
2026-05-13T14:00:06.808532 | data fetched price=81004.16
2026-05-13T14:00:06.809532 | no signal
2026-05-13T14:00:06.809532 | loop end - sleeping
2026-05-13T14:00:06.810674 | sleeping until next candle
2026-05-13T14:30:05.819665 | loop start
2026-05-13T14:30:06.460519 | TwelveData OK - 239 rows
2026-05-13T14:30:06.485536 | TwelveData fetch completed
2026-05-13T14:30:07.203476 | Binance fetch complete
2026-05-13T14:30:07.240234 | Data ready - 239 rows, last=2026-05-13 14:00:00+05:30
2026-05-13T14:30:07.241234 | data fetched price=81161.09
2026-05-13T14:30:07.242236 | no signal
2026-05-13T14:30:07.243235 | loop end - sleeping
2026-05-13T14:30:07.243235 | sleeping until next candle
2026-05-13T15:00:05.247038 | loop start
2026-05-13T15:00:06.231781 | TwelveData OK - 239 rows
