,datetime,open,high,low,close
231,2026-02-08 13:30:00,69646.06,71150,69477.33,70937.94
232,2026-02-08 17:30:00,70937.94,71508,70632,71137.43
233,2026-02-08 21:30:00,71134.02,71479.9,70200.4,71380.16
234,2026-02-09 01:30:00,71380.62,72232.17,69933.02,70279.33
235,2026-02-09 05:30:00,70279.32,71380.13,70012.81,71241.43
236,2026-02-09 09:30:00,71239.85,71305.03,70254,70358.02
237,2026-02-09 13:30:00,70358.02,70554.99,68351.4,68868.8
238,2026-02-09 17:30:00,68868.79,69841,68233.01,69533.85
239,2026-02-09 21:30:00,69529.36,71042.44,69051,70922.12
240,2026-02-10 01:30:00,70922.98,71101.35,69783.48,70101.99
241,2026-02-10 05:30:00,70101.98,70489.99,69153,69450.74
242,2026-02-10 09:30:00,69450.74,69853.25,68630.65,68859.02
243,2026-02-10 13:30:00,68859.02,69348.31,68403.03,68457.44
244,2026-02-10 17:30:00,68466,69538.03,67857,69256.02
245,2026-02-10 21:30:00,69253.15,69970.59,68582,69030.13
246,2026-02-11 01:30:00,69030.13,69100,68290.99,68803.65
247,2026-02-11 05:30:00,68803.65,69248,67950.21,68132.94
248,2026-02-11 09:30:00,68132.93,68280.66,66502.3,66986.18
249,2026-02-11 13:30:00,66988.33,67084.97,66340,67026.84
250,2026-02-11 17:30:00,67025.43,68788,65702.95,66490
251,2026-02-11 21:30:00,66487.72,67819.56,65809.79,67540.29
252,2026-02-12 01:30:00,67540.28,68296.88,66729.19,67024.93
253,2026-02-12 05:30:00,67032.71,67994.94,66993.75,67533.13
254,2026-02-12 09:30:00,67533.13,67631,66614.15,67167.96
255,2026-02-12 13:30:00,67164.39,68300,66827.41,68041.99
256,2026-02-12 17:30:00,68040,68382.9,66969.69,67091.99
257,2026-02-12 21:30:00,67097.28,67196.68,65065.47,65730
258,2026-02-13 01:30:00,65732.99,66427,65139.87,66208
259,2026-02-13 05:30:00,66207.99,66755,65799.71,66504.02
260,2026-02-13 09:30:00,66505.4,66623.99,65954.31,66142
261,2026-02-13 13:30:00,66142,67170.85,66124.04,67109.69
262,2026-02-13 17:30:00,67106,69274.01,66810,68650
263,2026-02-13 21:30:00,68644.01,69434.2,68489.56,68898.67
264,2026-02-14 01:30:00,68896.29,69039.39,68640.65,68812
265,2026-02-14 05:30:00,68812,69101.17,68723.15,68941.67
266,2026-02-14 09:30:00,68941.67,69308,68697.63,69179.9
267,2026-02-14 13:30:00,69179.9,70531.53,69171.12,70469.17
268,2026-02-14 17:30:00,70469.17,70499.99,69190.96,69767.28
269,2026-02-14 21:30:00,69767.29,69895.6,69263.02,69845.55
270,2026-02-15 01:30:00,69845.21,70218.54,69636.01,69786.96
271,2026-02-15 05:30:00,69786.96,69980.61,69212.82,69925.01
272,2026-02-15 09:30:00,69925.01,70897.57,69834.53,70790.31
273,2026-02-15 13:30:00,70793.99,70941.65,70144.47,70262.7
274,2026-02-15 17:30:00,70262.7,70377.99,68750,69067.09
275,2026-02-15 21:30:00,69067.08,69068,68020,68244.49
276,2026-02-16 01:30:00,68244.48,69043.41,68082.1,68792
277,2026-02-16 05:30:00,68792,69025.99,68112.44,68386.83
278,2026-02-16 09:30:00,68385.48,68863.96,68190.08,68549.82
279,2026-02-16 13:30:00,68549.82,69025.99,68283.01,68771.82
280,2026-02-16 17:30:00,68771.82,70089.99,67251.81,67502
281,2026-02-16 21:30:00,67504.36,68208.33,67460.65,67880.63
282,2026-02-17 01:30:00,67880.62,68963.26,67790.8,68858.13
283,2026-02-17 05:30:00,68859.55,69199.51,68341.05,68432.65
284,2026-02-17 09:30:00,68432.64,68668.23,67850.01,68357.51
285,2026-02-17 13:30:00,68356.01,68445,67638.75,67808.3
286,2026-02-17 17:30:00,67808.3,68319.8,66569.58,67362.33
287,2026-02-17 21:30:00,67355.41,68206.9,66832.01,67755.7
288,2026-02-18 01:30:00,67756.22,67894.31,67343.86,67466.7
289,2026-02-18 05:30:00,67466.7,67676,66835.98,67586.4
290,2026-02-18 09:30:00,67586.41,68184.67,67463.55,68081.41
291,2026-02-18 13:30:00,68081.41,68438.84,67042.87,67334.9
292,2026-02-18 17:30:00,67337.99,68333.93,66666,67663.28
293,2026-02-18 21:30:00,67663.66,67677.09,65812.57,66135.94
294,2026-02-19 01:30:00,66137.51,66516.12,66052.51,66419.79
295,2026-02-19 05:30:00,66419.78,66962.01,66300.43,66944.99
296,2026-02-19 09:30:00,66944.98,67288.22,66643.62,67171.96
